año_mes;provincia_zona;genero;rubro;Cantidad;remuneracion_Med;remuneracion_prom
40238;Salta;Femenino;Litio-exploración y financiación;4;3429,85;3307,76
40238;Salta;Femenino;Litio-Produccion;17;4182,2;5557,74
40238;Salta;Masculino;Litio-exploración y financiación;50;3879,19;4654,52
40238;Salta;Masculino;Litio-Produccion;50;5824,12;6632,63
40269;Catamarca;Femenino;Litio-Produccion;11;5207,34;5598,35
40269;Catamarca;Masculino;Litio-Produccion;149;6928,68;6975,47
40269;Jujuy;Femenino;Litio-exploración y financiación;2;7893,36;7893,36
40269;Jujuy;Femenino;Litio-Produccion;2;2350;2350
40269;Jujuy;Masculino;Litio-exploración y financiación;16;3128,81;5216,34
40269;Jujuy;Masculino;Litio-Produccion;36;2409,8;3200,66
40269;Mendoza;Femenino;Litio-Produccion;9;6000;6028,19
40269;Mendoza;Masculino;Litio-Produccion;11;7500;7954,55
40269;Salta;Femenino;Litio-exploración y financiación;4;3665,26;3900,38
40269;Salta;Femenino;Litio-Produccion;16;4616,63;5886,87
40269;Salta;Masculino;Litio-exploración y financiación;51;3509,04;4571,22
40269;Salta;Masculino;Litio-Produccion;48;6477,4;7003,13
40299;Catamarca;Femenino;Litio-Produccion;11;4822,32;4800,69
40299;Catamarca;Masculino;Litio-Produccion;150;5471,36;5934,42
40299;Jujuy;Femenino;Litio-exploración y financiación;2;7893,36;7893,36
40299;Jujuy;Femenino;Litio-Produccion;2;2350;2350
40299;Jujuy;Masculino;Litio-exploración y financiación;15;3265,87;5196,35
40299;Jujuy;Masculino;Litio-Produccion;37;2409,8;3228,46
40299;Mendoza;Femenino;Litio-Produccion;12;6000;6643,75
40299;Mendoza;Masculino;Litio-Produccion;12;10000;8833,33
40299;Salta;Femenino;Litio-exploración y financiación;4;3993,5;4045,75
40299;Salta;Femenino;Litio-Produccion;16;4935,38;5962,15
